Enumerator Value,Ordinal English,Ordinal Danish,,,Singular,,,Plural
,,,,,del,,,dele
1,first,fÃ¸rste,,1/1,en hel,,2/1,to hele
2,half,anden,,1/2,en halv,,3/2,tre halve
3,third,tredje,,1/3,en tredjedel,,4/3,fire tredjedele
4,fourth,fjerde,,1/4,en fjerdedel,en kvart,2/4,to fjerdedele
5,fifth,femte,,1/5,en femtedel,,2/5,to femtedele
6,sixth,sjette,,,,,,
7,seventh,syvende,,,,,,
8,eighth,ottende,,,,,,
9,ninth,niende,,,,,,
10,tenth,tiende,,,,,,
11,eleventh,ellevte,,,,,,
12,twelfth,tolvte,,,,,,
13,thirteenth,trettende,,,,,,
14,fourteenth,fjortende,,,,,,
15,fifteenth,femtende,,,,,,
16,sixteenth,sekstende,,,,,,
17,seventeenth,syttende,,,,,,
18,eighteenth,attende,,,,,,
19,nineteenth,nittende,,,,,,
20,twentieth,tyvende,,,,,,
21,twenty-first,enogtyvende,,,,,,
22,twenty-second,toogtyvende,,,,,,
, ,,,,,,,
30,thirtieth,tredvte,,,,,,
, ,,,,,,,
40,fortieth,fyrretyvende,,,,,,
, ,,,,,,,
50,fiftieth,halvtredsindstyvende,,,,,,
, ,,,,,,,
60,sixtieth,tresindstyvende,,,,,,
, ,,,,,,,
70,seventieth,halvfjerdsende,,,,,,
, ,,,,,,,
80,eightieth,firsindstyvende,,,,,,
, ,,,,,,,
90,ninetieth,halvfemsindstyvende,,,,,,
, ,,,,,,,
100,one-hundredth,et hundrede,,,,,,
, ,,,,,,,
200,two-hundredth,to hundrede,,,,,,
, ,,,,,,,
300,three-hundredth,tre hundrede,,,,,,
, ,,,,,,,
400,four-hundredth,fire hundrede,,,,,,
, ,,,,,,,
500,five-hundredth,fem hundrede,,,,,,
, ,,,,,,,
600,six-hundredth,seks hundrede,,,,,,
, ,,,,,,,
700,seven-hundredth,syv hundrede,,,,,,
, ,,,,,,,
800,eight-hundredth,otte hundrede,,,,,,
, ,,,,,,,
900,nine-hundredth,ni hundrede,,,,,,
, ,,,,,,,
1000,one-thousandth,et tusinde,,,,,,
